Year;Win;Goal;Points
1989;25;91;62
1990;26;107;62
1991;20;63;46
1992;23;78;54
1993;24;75;57
1994;19;61;45
1995;23;76;55
1996;20;75;70
1997;27;85;92
1998;17;63;63
1999;21;77;68
2000;16;58;62
2001;24;81;80
2002;19;69;66
2003;22;86;78
2004;21;72;70
2005;25;71;80
2006;20;70;70
2007;23;66;76
2008;27;84;85
2009;25;83;78
2010;31;102;96
2011;29;102;92
2012;32;121;100
2013;26;103;85
2014;27;104;87
2015;30;118;92
2016;28;110;90
2017;29;106;93
2018;22;94;76
2019;21;63;68
2020;26;70;87
2021;25;67;84
2022;26;80;86
2023;24;75;78
